,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2022-07-17,0.35,0.36,0.34,0.34,203255685.0,203255685.0,-0.009999999999999953
2022-07-18,0.34,0.37,0.34,0.37,404237689.0,404237689.0,0.02999999999999997
2022-07-19,0.37,0.38,0.35,0.37,372635897.0,372635897.0,0.0
2022-07-20,0.37,0.38,0.36,0.36,329852165.0,329852165.0,-0.010000000000000009
2022-07-21,0.36,0.37,0.35,0.37,276798269.0,276798269.0,0.010000000000000009
2022-07-22,0.37,0.37,0.35,0.36,231304449.0,231304449.0,-0.010000000000000009
2022-07-23,0.36,0.36,0.35,0.36,140472336.0,140472336.0,0.0
2022-07-24,0.36,0.37,0.36,0.36,154710249.0,154710249.0,0.0
2022-07-25,0.36,0.36,0.34,0.34,250777496.0,250777496.0,-0.019999999999999962
2022-07-26,0.34,0.34,0.33,0.34,248516564.0,248516564.0,0.0
2022-07-27,0.34,0.36,0.33,0.36,270820690.0,270820690.0,0.019999999999999962
2022-07-28,0.36,0.38,0.35,0.37,338381188.0,338381188.0,0.010000000000000009
2022-07-29,0.37,0.38,0.36,0.37,276456259.0,276456259.0,0.0
2022-07-30,0.37,0.41,0.36,0.39,388154871.0,388154871.0,0.020000000000000018
2022-07-31,0.39,0.4,0.38,0.38,231814092.0,231814092.0,-0.010000000000000009
2022-08-01,0.38,0.39,0.37,0.38,215729685.0,215729685.0,0.0
2022-08-02,0.38,0.39,0.37,0.37,261343324.0,261343324.0,-0.010000000000000009
2022-08-03,0.37,0.38,0.36,0.37,212254602.0,212254602.0,0.0
2022-08-04,0.37,0.38,0.36,0.37,170860294.0,170860294.0,0.0
2022-08-05,0.37,0.38,0.37,0.38,178170072.0,178170072.0,0.010000000000000009
2022-08-06,0.38,0.38,0.37,0.37,88658479.0,88658479.0,-0.010000000000000009
2022-08-07,0.37,0.38,0.37,0.37,94432362.0,94432362.0,0.0
2022-08-08,0.37,0.38,0.37,0.38,221476216.0,221476216.0,0.010000000000000009
2022-08-09,0.38,0.38,0.36,0.37,168358813.0,168358813.0,-0.010000000000000009
2022-08-10,0.37,0.38,0.36,0.38,218617309.0,218617309.0,0.010000000000000009
2022-08-11,0.38,0.39,0.38,0.38,212303676.0,212303676.0,0.0
2022-08-12,0.38,0.38,0.37,0.38,169377982.0,169377982.0,0.0
2022-08-13,0.38,0.39,0.38,0.38,122728952.0,122728952.0,0.0
2022-08-14,0.38,0.39,0.37,0.38,184744299.0,184744299.0,0.0
2022-08-15,0.38,0.39,0.37,0.38,231352894.0,231352894.0,0.0
