,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-08-22,1667.56,1669.38,1580.0,1634.99,402012.04,402012.04,-32.569999999999936
2023-08-23,1635.0,1702.11,1629.05,1679.61,374761.11,374761.11,44.6099999999999
2023-08-24,1679.61,1683.37,1635.28,1661.16,231539.78,231539.78,-18.449999999999818
2023-08-25,1661.16,1677.22,1635.51,1653.8,236261.69,236261.69,-7.360000000000127
2023-08-26,1653.79,1655.59,1644.0,1647.04,79175.43,79175.43,-6.75
2023-08-27,1647.03,1660.24,1646.32,1658.33,87789.92,87789.92,11.299999999999955
2023-08-28,1658.33,1664.34,1621.75,1653.08,214351.01,214351.01,-5.25
2023-08-29,1653.08,1745.84,1640.0,1729.42,494371.08,494371.08,76.34000000000015
2023-08-30,1729.41,1730.93,1694.34,1705.23,202841.44,202841.44,-24.180000000000064
2023-08-31,1705.23,1729.0,1630.0,1645.76,330518.27,330518.27,-59.47000000000003
2023-09-01,1645.77,1654.53,1602.33,1629.12,302406.17,302406.17,-16.65000000000009
2023-09-02,1629.13,1645.0,1628.03,1637.03,102145.95,102145.95,7.899999999999864
2023-09-03,1637.02,1647.5,1625.14,1635.84,116767.29,116767.29,-1.1800000000000637
2023-09-04,1635.84,1644.82,1616.32,1630.51,168010.91,168010.91,-5.329999999999927
2023-09-05,1630.52,1648.02,1609.69,1634.45,204365.49,204365.49,3.9300000000000637
2023-09-06,1634.46,1670.0,1609.2,1633.15,219541.02,219541.02,-1.3099999999999454
2023-09-07,1633.15,1660.0,1623.4,1648.11,228558.28,228558.28,14.959999999999809
2023-09-08,1648.11,1658.93,1616.21,1636.44,221570.05,221570.05,-11.669999999999845
2023-09-09,1636.43,1637.52,1629.74,1635.54,58519.62,58519.62,-0.8900000000001
2023-09-10,1635.53,1635.7,1600.0,1617.42,207957.84,207957.84,-18.1099999999999
2023-09-11,1617.42,1619.0,1531.01,1551.85,417424.82,417424.82,-65.57000000000016
2023-09-12,1551.84,1626.0,1549.67,1592.97,329739.97,329739.97,41.13000000000011
2023-09-13,1592.97,1619.3,1581.88,1607.62,223409.29,223409.29,14.649999999999864
2023-09-14,1607.61,1644.29,1607.05,1626.47,275301.15,275301.15,18.860000000000127
2023-09-15,1626.48,1654.08,1611.42,1641.29,181340.02,181340.02,14.809999999999945
