,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-12-08,17.15,18.75,16.96,18.73,2080951.57,2080951.57,1.5800000000000018
2021-12-09,18.73,18.77,16.11,16.17,2103223.72,2103223.72,-2.5599999999999987
2021-12-10,16.17,16.53,15.09,15.15,2357332.34,2357332.34,-1.0200000000000014
2021-12-11,15.14,16.74,14.94,15.9,1949767.09,1949767.09,0.7599999999999998
2021-12-12,15.9,16.19,15.27,16.0,991330.38,991330.38,0.09999999999999964
2021-12-13,16.0,16.09,13.76,14.16,1984501.11,1984501.11,-1.8399999999999999
2021-12-14,14.16,15.08,13.91,15.0,1352106.29,1352106.29,0.8399999999999999
2021-12-15,14.98,15.52,14.15,15.19,2194474.09,2194474.09,0.20999999999999908
2021-12-16,15.19,15.37,14.34,14.42,2163655.41,2163655.41,-0.7699999999999996
2021-12-17,14.41,15.1,13.67,14.97,1789860.25,1789860.25,0.5600000000000005
2021-12-18,14.97,16.1,14.67,15.56,2701601.97,2701601.97,0.5899999999999999
2021-12-19,15.57,15.97,14.83,14.97,1589950.01,1589950.01,-0.5999999999999996
2021-12-20,14.96,15.17,13.96,14.51,1821301.19,1821301.19,-0.45000000000000107
2021-12-21,14.51,15.1,14.31,15.05,1098347.03,1098347.03,0.5400000000000009
2021-12-22,15.05,18.0,14.96,16.23,2472751.55,2472751.55,1.1799999999999997
2021-12-23,16.22,18.26,15.92,18.17,4136178.14,4136178.14,1.9500000000000028
2021-12-24,18.18,18.29,17.23,17.49,2297059.66,2297059.66,-0.6900000000000013
2021-12-25,17.51,17.84,17.07,17.46,1217142.43,1217142.43,-0.05000000000000071
2021-12-26,17.47,18.79,16.71,18.66,1838091.86,1838091.86,1.1900000000000013
2021-12-27,18.65,20.07,18.53,19.12,2679418.19,2679418.19,0.4700000000000024
2021-12-28,19.13,19.92,17.72,18.39,4013857.2,4013857.2,-0.7399999999999984
2021-12-29,18.4,19.5,16.87,17.13,3638665.39,3638665.39,-1.2699999999999996
2021-12-30,17.12,17.91,16.71,17.8,1609634.43,1609634.43,0.6799999999999997
2021-12-31,17.8,18.65,16.77,17.0,2203063.81,2203063.81,-0.8000000000000007
2022-01-01,17.01,17.57,16.79,17.48,1236062.74,1236062.74,0.46999999999999886
2022-01-02,17.48,18.5,17.04,18.4,1239824.76,1239824.76,0.9199999999999982
2022-01-03,18.39,19.18,17.84,18.46,2377836.01,2377836.01,0.07000000000000028
2022-01-04,18.47,19.15,17.68,18.21,2349174.13,2349174.13,-0.259999999999998
