,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2023-01-31,91.36,96.28,91.31,94.09,1045907.00,1045907.00
2023-02-01,94.09,102.53,93.73,100.33,1324424.13,1324424.13
2023-02-02,100.32,102.34,97.92,98.64,730534.06,730534.06
2023-02-03,98.64,100.76,97.48,99.86,568938.09,568938.09
2023-02-04,99.86,101.36,98.23,98.51,357081.56,357081.56
2023-02-05,98.51,98.89,94.86,96.63,417682.28,417682.28
2023-02-06,96.65,97.96,94.81,95.93,371415.94,371415.94
2023-02-07,95.92,101.58,95.89,100.86,672704.47,672704.47
2023-02-08,100.85,102.41,96.86,99.22,559839.76,559839.76
2023-02-09,99.20,99.49,89.78,92.05,930317.56,930317.56
2023-02-10,92.06,94.17,90.99,93.34,641293.69,641293.69
2023-02-11,93.32,94.83,92.63,94.28,359543.18,359543.18
2023-02-12,94.29,94.57,90.88,92.51,306598.20,306598.20
2023-02-13,92.50,95.00,88.16,91.05,740201.60,740201.60
2023-02-14,91.05,95.96,90.32,95.82,622092.63,622092.63
2023-02-15,95.82,103.28,95.04,102.82,764436.26,764436.26
2023-02-16,102.83,105.71,98.48,98.55,687509.19,687509.19
2023-02-17,98.56,101.70,98.19,100.12,569585.28,569585.28
2023-02-18,100.12,101.94,98.93,99.71,434788.20,434788.20
2023-02-19,99.71,101.50,96.72,97.43,433963.16,433963.16
2023-02-20,97.43,98.72,94.39,95.90,935281.52,935281.52
2023-02-21,95.90,96.81,91.42,93.80,739676.01,739676.01
2023-02-22,93.81,95.56,91.57,95.28,693131.99,693131.99
2023-02-23,95.26,96.28,93.31,94.59,474230.85,474230.85
2023-02-24,94.60,95.28,90.00,91.55,501375.88,501375.88
2023-02-25,91.56,93.51,90.34,93.15,426347.65,426347.65
2023-02-26,93.14,95.54,92.77,95.27,343656.08,343656.08
2023-02-27,95.26,96.09,92.40,94.07,390505.03,390505.03
2023-02-28,94.07,96.02,93.02,93.80,380334.63,380334.63
2023-03-01,93.79,98.37,93.56,97.78,578624.04,578624.04
2023-03-02,97.77,98.33,93.89,95.39,531837.15,531837.15
2023-03-03,95.39,95.52,85.30,90.56,932908.77,932908.77
