,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-09-16,0.06,0.06,0.06,0.06,255280771.0,255280771.0,0.0
2023-09-17,0.06,0.06,0.06,0.06,383318697.0,383318697.0,0.0
2023-09-18,0.06,0.06,0.06,0.06,477979505.0,477979505.0,0.0
2023-09-19,0.06,0.06,0.06,0.06,428581236.0,428581236.0,0.0
2023-09-20,0.06,0.06,0.06,0.06,351126474.0,351126474.0,0.0
2023-09-21,0.06,0.06,0.06,0.06,461733879.0,461733879.0,0.0
2023-09-22,0.06,0.06,0.06,0.06,243141704.0,243141704.0,0.0
2023-09-23,0.06,0.06,0.06,0.06,171390790.0,171390790.0,0.0
2023-09-24,0.06,0.06,0.06,0.06,187668551.0,187668551.0,0.0
2023-09-25,0.06,0.06,0.06,0.06,185313210.0,185313210.0,0.0
2023-09-26,0.06,0.06,0.06,0.06,247803396.0,247803396.0,0.0
2023-09-27,0.06,0.06,0.06,0.06,322389750.0,322389750.0,0.0
2023-09-28,0.06,0.06,0.06,0.06,330092922.0,330092922.0,0.0
2023-09-29,0.06,0.06,0.06,0.06,388098719.0,388098719.0,0.0
2023-09-30,0.06,0.06,0.06,0.06,353992527.0,353992527.0,0.0
2023-10-01,0.06,0.06,0.06,0.06,426685075.0,426685075.0,0.0
2023-10-02,0.06,0.06,0.06,0.06,626702154.0,626702154.0,0.0
2023-10-03,0.06,0.06,0.06,0.06,285220585.0,285220585.0,0.0
2023-10-04,0.06,0.06,0.06,0.06,335531290.0,335531290.0,0.0
2023-10-05,0.06,0.06,0.06,0.06,252901933.0,252901933.0,0.0
2023-10-06,0.06,0.06,0.06,0.06,299784369.0,299784369.0,0.0
2023-10-07,0.06,0.06,0.06,0.06,279174721.0,279174721.0,0.0
2023-10-08,0.06,0.06,0.06,0.06,202221066.0,202221066.0,0.0
2023-10-09,0.06,0.06,0.06,0.06,806444033.0,806444033.0,0.0
2023-10-10,0.06,0.06,0.06,0.06,254040040.0,254040040.0,0.0
2023-10-11,0.06,0.06,0.06,0.06,356464937.0,356464937.0,0.0
2023-10-12,0.06,0.06,0.06,0.06,241613425.0,241613425.0,0.0
2023-10-13,0.06,0.06,0.06,0.06,340601297.0,340601297.0,0.0
2023-10-14,0.06,0.06,0.06,0.06,258485303.0,258485303.0,0.0
2023-10-15,0.06,0.06,0.06,0.06,187751427.0,187751427.0,0.0
2023-10-16,0.06,0.06,0.06,0.06,685936360.0,685936360.0,0.0
2023-10-17,0.06,0.06,0.06,0.06,328504417.0,328504417.0,0.0
2023-10-18,0.06,0.06,0.06,0.06,259892423.0,259892423.0,0.0
2023-10-19,0.06,0.06,0.06,0.06,268646752.0,268646752.0,0.0
2023-10-20,0.06,0.06,0.06,0.06,380263308.0,380263308.0,0.0
