,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2022-12-30,0.07,0.07,0.07,0.07,1196523595.00,1196523595.00
2022-12-31,0.07,0.07,0.07,0.07,731983708.00,731983708.00
2023-01-01,0.07,0.07,0.07,0.07,446408160.00,446408160.00
2023-01-02,0.07,0.07,0.07,0.07,1115176285.00,1115176285.00
2023-01-03,0.07,0.07,0.07,0.07,732706343.00,732706343.00
2023-01-04,0.07,0.07,0.07,0.07,790550617.00,790550617.00
2023-01-05,0.07,0.08,0.07,0.07,1201528327.00,1201528327.00
2023-01-06,0.07,0.07,0.07,0.07,906514550.00,906514550.00
2023-01-07,0.07,0.07,0.07,0.07,438575312.00,438575312.00
2023-01-08,0.07,0.07,0.07,0.07,699742440.00,699742440.00
2023-01-09,0.07,0.08,0.07,0.08,2439547755.00,2439547755.00
2023-01-10,0.08,0.08,0.07,0.08,1467632421.00,1467632421.00
2023-01-11,0.08,0.08,0.07,0.08,1121053232.00,1121053232.00
2023-01-12,0.08,0.08,0.08,0.08,1968905283.00,1968905283.00
2023-01-13,0.08,0.09,0.08,0.08,1429185415.00,1429185415.00
2023-01-14,0.08,0.09,0.08,0.09,2545072024.00,2545072024.00
2023-01-15,0.09,0.09,0.08,0.09,1138888071.00,1138888071.00
2023-01-16,0.09,0.09,0.08,0.08,1287934489.00,1287934489.00
2023-01-17,0.08,0.09,0.08,0.08,756342910.00,756342910.00
2023-01-18,0.08,0.09,0.08,0.08,2493642731.00,2493642731.00
2023-01-19,0.08,0.08,0.08,0.08,691282040.00,691282040.00
2023-01-20,0.08,0.09,0.08,0.09,918640712.00,918640712.00
2023-01-21,0.09,0.09,0.08,0.08,1633128413.00,1633128413.00
2023-01-22,0.08,0.09,0.08,0.09,1738503746.00,1738503746.00
2023-01-23,0.09,0.09,0.09,0.09,1434286413.00,1434286413.00
2023-01-24,0.09,0.09,0.08,0.08,1125073702.00,1125073702.00
2023-01-25,0.08,0.09,0.08,0.09,1051938532.00,1051938532.00
2023-01-26,0.09,0.09,0.08,0.09,798277511.00,798277511.00
2023-01-27,0.09,0.09,0.08,0.09,754008754.00,754008754.00
2023-01-28,0.09,0.09,0.09,0.09,1403207343.00,1403207343.00
2023-01-29,0.09,0.09,0.09,0.09,1040667224.00,1040667224.00
2023-01-30,0.09,0.09,0.08,0.09,1972615630.00,1972615630.00
2023-01-31,0.09,0.10,0.09,0.10,3424868562.00,3424868562.00
2023-02-01,0.10,0.10,0.09,0.09,2518388790.00,2518388790.00
2023-02-02,0.09,0.10,0.09,0.09,1627338143.00,1627338143.00
2023-02-03,0.09,0.09,0.09,0.09,1151670924.00,1151670924.00
2023-02-04,0.09,0.10,0.09,0.10,2334550634.00,2334550634.00
2023-02-05,0.10,0.10,0.09,0.09,1602924250.00,1602924250.00
2023-02-06,0.09,0.09,0.09,0.09,969968684.00,969968684.00
2023-02-07,0.09,0.09,0.09,0.09,846234202.00,846234202.00
2023-02-08,0.09,0.09,0.09,0.09,817449844.00,817449844.00
2023-02-09,0.09,0.09,0.08,0.08,1673139025.00,1673139025.00
2023-02-10,0.08,0.08,0.08,0.08,1054839195.00,1054839195.00
2023-02-11,0.08,0.08,0.08,0.08,409857675.00,409857675.00
2023-02-12,0.08,0.09,0.08,0.08,932273677.00,932273677.00
2023-02-13,0.08,0.09,0.08,0.08,1742593714.00,1742593714.00
2023-02-14,0.08,0.08,0.08,0.08,785765214.00,785765214.00
2023-02-15,0.08,0.09,0.08,0.09,1906740485.00,1906740485.00
2023-02-16,0.09,0.09,0.08,0.08,1730290902.00,1730290902.00
2023-02-17,0.08,0.09,0.08,0.09,778220031.00,778220031.00
2023-02-18,0.09,0.09,0.09,0.09,741187928.00,741187928.00
2023-02-19,0.09,0.09,0.09,0.09,933849140.00,933849140.00
2023-02-20,0.09,0.09,0.09,0.09,774767125.00,774767125.00
2023-02-21,0.09,0.09,0.08,0.09,984199238.00,984199238.00
2023-02-22,0.09,0.09,0.08,0.09,1754704513.00,1754704513.00
2023-02-23,0.09,0.09,0.08,0.08,708234194.00,708234194.00
2023-02-24,0.08,0.08,0.08,0.08,1006076322.00,1006076322.00
2023-02-25,0.08,0.08,0.08,0.08,671481093.00,671481093.00
2023-02-26,0.08,0.08,0.08,0.08,375150914.00,375150914.00
2023-02-27,0.08,0.08,0.08,0.08,535217985.00,535217985.00
2023-02-28,0.08,0.08,0.08,0.08,782956200.00,782956200.00
2023-03-01,0.08,0.08,0.08,0.08,449680442.00,449680442.00
2023-03-02,0.08,0.08,0.08,0.08,396580116.00,396580116.00
2023-03-03,0.08,0.08,0.07,0.08,1391618480.00,1391618480.00
2023-03-04,0.08,0.08,0.07,0.07,646573785.00,646573785.00
2023-03-05,0.07,0.08,0.07,0.07,473247429.00,473247429.00
2023-03-06,0.07,0.08,0.07,0.07,601290505.00,601290505.00
2023-03-07,0.07,0.08,0.07,0.07,715751875.00,715751875.00
2023-03-08,0.07,0.07,0.07,0.07,710430111.00,710430111.00
2023-03-09,0.07,0.07,0.06,0.07,1514038685.00,1514038685.00
2023-03-10,0.07,0.07,0.06,0.07,1320901834.00,1320901834.00
2023-03-11,0.07,0.07,0.06,0.07,1096354085.00,1096354085.00
2023-03-12,0.07,0.07,0.07,0.07,950190978.00,950190978.00
2023-03-13,0.07,0.07,0.07,0.07,1285142360.00,1285142360.00
2023-03-14,0.07,0.08,0.07,0.07,1507610170.00,1507610170.00
2023-03-15,0.07,0.08,0.07,0.07,1326712138.00,1326712138.00
2023-03-16,0.07,0.07,0.07,0.07,842159396.00,842159396.00
2023-03-17,0.07,0.08,0.07,0.08,1234974838.00,1234974838.00
2023-03-18,0.08,0.08,0.07,0.07,1383588746.00,1383588746.00
2023-03-19,0.07,0.08,0.07,0.07,818390779.00,818390779.00
2023-03-20,0.07,0.08,0.07,0.07,1079402871.00,1079402871.00
2023-03-21,0.07,0.08,0.07,0.08,1544655030.00,1544655030.00
2023-03-22,0.08,0.08,0.07,0.07,1912919819.00,1912919819.00
2023-03-23,0.07,0.08,0.07,0.08,1770056622.00,1770056622.00
2023-03-24,0.08,0.08,0.07,0.07,836571352.00,836571352.00
2023-03-25,0.07,0.08,0.07,0.07,658593695.00,658593695.00
2023-03-26,0.07,0.08,0.07,0.07,480451959.00,480451959.00
2023-03-27,0.07,0.08,0.07,0.07,1127427328.00,1127427328.00
2023-03-28,0.07,0.07,0.07,0.07,644358903.00,644358903.00
2023-03-29,0.07,0.08,0.07,0.08,1004337728.00,1004337728.00
2023-03-30,0.08,0.08,0.07,0.07,827561063.00,827561063.00
2023-03-31,0.07,0.08,0.07,0.08,838503016.00,838503016.00
2023-04-01,0.08,0.09,0.08,0.08,1854882421.00,1854882421.00
2023-04-02,0.08,0.09,0.08,0.08,2199172283.00,2199172283.00
2023-04-03,0.08,0.10,0.08,0.10,8818532284.00,8818532284.00
2023-04-04,0.10,0.10,0.09,0.10,7327021779.00,7327021779.00
2023-04-05,0.10,0.10,0.09,0.09,3340986573.00,3340986573.00
2023-04-06,0.09,0.09,0.08,0.09,3278113280.00,3278113280.00
2023-04-07,0.09,0.09,0.08,0.08,2228211181.00,2228211181.00
2023-04-08,0.08,0.08,0.08,0.08,1218517909.00,1218517909.00
2023-04-09,0.08,0.08,0.08,0.08,922447755.00,922447755.00
2023-04-10,0.08,0.09,0.08,0.08,948759612.00,948759612.00
2023-04-11,0.08,0.09,0.08,0.08,1001623427.00,1001623427.00
2023-04-12,0.08,0.09,0.08,0.08,1733885327.00,1733885327.00
2023-04-13,0.08,0.09,0.08,0.09,1824584606.00,1824584606.00
2023-04-14,0.09,0.09,0.09,0.09,2129880806.00,2129880806.00
2023-04-15,0.09,0.09,0.09,0.09,873116413.00,873116413.00
2023-04-16,0.09,0.09,0.09,0.09,1204599668.00,1204599668.00
2023-04-17,0.09,0.09,0.09,0.09,2941097287.00,2941097287.00
2023-04-18,0.09,0.10,0.09,0.09,1670819556.00,1670819556.00
2023-04-19,0.09,0.09,0.08,0.09,2757696460.00,2757696460.00
2023-04-20,0.09,0.09,0.08,0.08,4572088496.00,4572088496.00
2023-04-21,0.08,0.08,0.08,0.08,2208532603.00,2208532603.00
2023-04-22,0.08,0.08,0.08,0.08,807742799.00,807742799.00
2023-04-23,0.08,0.08,0.08,0.08,776127337.00,776127337.00
2023-04-24,0.08,0.08,0.08,0.08,835608693.00,835608693.00
2023-04-25,0.08,0.08,0.08,0.08,649768816.00,649768816.00
2023-04-26,0.08,0.08,0.07,0.08,1881668380.00,1881668380.00
2023-04-27,0.08,0.08,0.08,0.08,1030067337.00,1030067337.00
2023-04-28,0.08,0.08,0.08,0.08,490310858.00,490310858.00
